Sample_ID,Sample_ID,Pathology
DSP.1001660006652.A.B07.PRES,DSP-1001660006652-A-B07-PRES,PRES
DSP.1001660006652.A.D07.PRES,DSP-1001660006652-A-D07-PRES,PRES
DSP.1001660006652.A.E04.PRES,DSP-1001660006652-A-E04-PRES,PRES
DSP.1001660006652.A.E05.PRES,DSP-1001660006652-A-E05-PRES,PRES
DSP.1001660006652.A.F01.PRES,DSP-1001660006652-A-F01-PRES,PRES
DSP.1001660006652.A.F08.PRES,DSP-1001660006652-A-F08-PRES,PRES
DSP.1001660006695.B.D10.PRES,DSP-1001660006695-B-D10-PRES,PRES
DSP.1001660006695.B.D11.PRES,DSP-1001660006695-B-D11-PRES,PRES
DSP.1001660006695.B.E04.PRES,DSP-1001660006695-B-E04-PRES,PRES
DSP.1001660006695.B.E08.PRES,DSP-1001660006695-B-E08-PRES,PRES
DSP.1001660006694.C.B11.PRES,DSP-1001660006694-C-B11-PRES,PRES
DSP.1001660006694.C.C01.PRES,DSP-1001660006694-C-C01-PRES,PRES
DSP.1001660006694.C.C02.PRES,DSP-1001660006694-C-C02-PRES,PRES
DSP.1001660006694.C.C03.PRES,DSP-1001660006694-C-C03-PRES,PRES
DSP.1001660006694.C.C04.PRES,DSP-1001660006694-C-C04-PRES,PRES
DSP.1001660006694.C.E07.PRES,DSP-1001660006694-C-E07-PRES,PRES
DSP.1001660006694.C.G01.PRES,DSP-1001660006694-C-G01-PRES,PRES
DSP.1001660006693.D.B09.PRES,DSP-1001660006693-D-B09-PRES,PRES
DSP.1001660006693.D.B10.PRES,DSP-1001660006693-D-B10-PRES,PRES
DSP.1001660006693.D.C04.PRES,DSP-1001660006693-D-C04-PRES,PRES
DSP.1001660006693.D.C05.PRES,DSP-1001660006693-D-C05-PRES,PRES
DSP.1001660006652.A.B01.EDAD,DSP-1001660006652-A-B01-EDAD,EDAD
DSP.1001660006652.A.B02.EDAD,DSP-1001660006652-A-B02-EDAD,EDAD
DSP.1001660006652.A.B03.EDAD,DSP-1001660006652-A-B03-EDAD,EDAD
DSP.1001660006652.A.B04.EDAD,DSP-1001660006652-A-B04-EDAD,EDAD
DSP.1001660006652.A.B05.EDAD,DSP-1001660006652-A-B05-EDAD,EDAD
DSP.1001660006652.A.B06.EDAD,DSP-1001660006652-A-B06-EDAD,EDAD
DSP.1001660006652.A.C03.EDAD,DSP-1001660006652-A-C03-EDAD,EDAD
DSP.1001660006652.A.C04.EDAD,DSP-1001660006652-A-C04-EDAD,EDAD
DSP.1001660006652.A.C05.EDAD,DSP-1001660006652-A-C05-EDAD,EDAD
DSP.1001660006652.A.C06.EDAD,DSP-1001660006652-A-C06-EDAD,EDAD
DSP.1001660006652.A.C07.EDAD,DSP-1001660006652-A-C07-EDAD,EDAD
DSP.1001660006652.A.C08.EDAD,DSP-1001660006652-A-C08-EDAD,EDAD
DSP.1001660006652.A.C09.EDAD,DSP-1001660006652-A-C09-EDAD,EDAD
DSP.1001660006652.A.E07.EDAD,DSP-1001660006652-A-E07-EDAD,EDAD
DSP.1001660006652.A.E08.EDAD,DSP-1001660006652-A-E08-EDAD,EDAD
DSP.1001660006652.A.E09.EDAD,DSP-1001660006652-A-E09-EDAD,EDAD
DSP.1001660006652.A.H02.EDAD,DSP-1001660006652-A-H02-EDAD,EDAD
DSP.1001660006652.A.H03.EDAD,DSP-1001660006652-A-H03-EDAD,EDAD
DSP.1001660006652.A.H04.EDAD,DSP-1001660006652-A-H04-EDAD,EDAD
DSP.1001660006652.A.H05.EDAD,DSP-1001660006652-A-H05-EDAD,EDAD
DSP.1001660006652.A.H06.EDAD,DSP-1001660006652-A-H06-EDAD,EDAD
DSP.1001660006652.A.H07.EDAD,DSP-1001660006652-A-H07-EDAD,EDAD
DSP.1001660006652.A.H08.EDAD,DSP-1001660006652-A-H08-EDAD,EDAD
DSP.1001660006652.A.H09.EDAD,DSP-1001660006652-A-H09-EDAD,EDAD
DSP.1001660006652.A.H10.EDAD,DSP-1001660006652-A-H10-EDAD,EDAD
DSP.1001660006652.A.H11.EDAD,DSP-1001660006652-A-H11-EDAD,EDAD
DSP.1001660006695.B.A02.EDAD,DSP-1001660006695-B-A02-EDAD,EDAD
DSP.1001660006695.B.A03.EDAD,DSP-1001660006695-B-A03-EDAD,EDAD
DSP.1001660006695.B.A04.EDAD,DSP-1001660006695-B-A04-EDAD,EDAD
DSP.1001660006695.B.A05.EDAD,DSP-1001660006695-B-A05-EDAD,EDAD
DSP.1001660006695.B.A06.EDAD,DSP-1001660006695-B-A06-EDAD,EDAD
DSP.1001660006695.B.A07.EDAD,DSP-1001660006695-B-A07-EDAD,EDAD
DSP.1001660006695.B.A08.EDAD,DSP-1001660006695-B-A08-EDAD,EDAD
DSP.1001660006695.B.A09.EDAD,DSP-1001660006695-B-A09-EDAD,EDAD
DSP.1001660006695.B.A10.EDAD,DSP-1001660006695-B-A10-EDAD,EDAD
DSP.1001660006695.B.A11.EDAD,DSP-1001660006695-B-A11-EDAD,EDAD
DSP.1001660006695.B.A12.EDAD,DSP-1001660006695-B-A12-EDAD,EDAD
DSP.1001660006695.B.B02.EDAD,DSP-1001660006695-B-B02-EDAD,EDAD
DSP.1001660006695.B.B04.EDAD,DSP-1001660006695-B-B04-EDAD,EDAD
DSP.1001660006695.B.B05.EDAD,DSP-1001660006695-B-B05-EDAD,EDAD
DSP.1001660006695.B.B06.EDAD,DSP-1001660006695-B-B06-EDAD,EDAD
DSP.1001660006695.B.B07.EDAD,DSP-1001660006695-B-B07-EDAD,EDAD
DSP.1001660006695.B.B08.EDAD,DSP-1001660006695-B-B08-EDAD,EDAD
DSP.1001660006695.B.B11.EDAD,DSP-1001660006695-B-B11-EDAD,EDAD
DSP.1001660006695.B.B12.EDAD,DSP-1001660006695-B-B12-EDAD,EDAD
DSP.1001660006695.B.C02.EDAD,DSP-1001660006695-B-C02-EDAD,EDAD
DSP.1001660006695.B.C03.EDAD,DSP-1001660006695-B-C03-EDAD,EDAD
DSP.1001660006695.B.C04.EDAD,DSP-1001660006695-B-C04-EDAD,EDAD
DSP.1001660006695.B.C05.EDAD,DSP-1001660006695-B-C05-EDAD,EDAD
DSP.1001660006695.B.C06.EDAD,DSP-1001660006695-B-C06-EDAD,EDAD
DSP.1001660006695.B.C07.EDAD,DSP-1001660006695-B-C07-EDAD,EDAD
DSP.1001660006695.B.C08.EDAD,DSP-1001660006695-B-C08-EDAD,EDAD
DSP.1001660006695.B.C09.EDAD,DSP-1001660006695-B-C09-EDAD,EDAD
DSP.1001660006695.B.E11.EDAD,DSP-1001660006695-B-E11-EDAD,EDAD
DSP.1001660006695.B.E12.EDAD,DSP-1001660006695-B-E12-EDAD,EDAD
DSP.1001660006695.B.F02.EDAD,DSP-1001660006695-B-F02-EDAD,EDAD
DSP.1001660006695.B.F03.EDAD,DSP-1001660006695-B-F03-EDAD,EDAD
DSP.1001660006695.B.F04.EDAD,DSP-1001660006695-B-F04-EDAD,EDAD
DSP.1001660006694.C.B06.EDAD,DSP-1001660006694-C-B06-EDAD,EDAD
DSP.1001660006694.C.B07.EDAD,DSP-1001660006694-C-B07-EDAD,EDAD
DSP.1001660006694.C.B08.EDAD,DSP-1001660006694-C-B08-EDAD,EDAD
DSP.1001660006694.C.B09.EDAD,DSP-1001660006694-C-B09-EDAD,EDAD
DSP.1001660006694.C.D09.EDAD,DSP-1001660006694-C-D09-EDAD,EDAD
DSP.1001660006694.C.D10.EDAD,DSP-1001660006694-C-D10-EDAD,EDAD
DSP.1001660006694.C.D11.EDAD,DSP-1001660006694-C-D11-EDAD,EDAD
DSP.1001660006694.C.E01.EDAD,DSP-1001660006694-C-E01-EDAD,EDAD
DSP.1001660006694.C.E02.EDAD,DSP-1001660006694-C-E02-EDAD,EDAD
DSP.1001660006694.C.E03.EDAD,DSP-1001660006694-C-E03-EDAD,EDAD
DSP.1001660006694.C.E04.EDAD,DSP-1001660006694-C-E04-EDAD,EDAD
DSP.1001660006694.C.E08.EDAD,DSP-1001660006694-C-E08-EDAD,EDAD
DSP.1001660006694.C.E09.EDAD,DSP-1001660006694-C-E09-EDAD,EDAD
DSP.1001660006694.C.E10.EDAD,DSP-1001660006694-C-E10-EDAD,EDAD
DSP.1001660006694.C.E11.EDAD,DSP-1001660006694-C-E11-EDAD,EDAD
DSP.1001660006694.C.F01.EDAD,DSP-1001660006694-C-F01-EDAD,EDAD
DSP.1001660006694.C.F02.EDAD,DSP-1001660006694-C-F02-EDAD,EDAD
DSP.1001660006694.C.F03.EDAD,DSP-1001660006694-C-F03-EDAD,EDAD
DSP.1001660006694.C.F04.EDAD,DSP-1001660006694-C-F04-EDAD,EDAD
DSP.1001660006694.C.F05.EDAD,DSP-1001660006694-C-F05-EDAD,EDAD
DSP.1001660006694.C.F06.EDAD,DSP-1001660006694-C-F06-EDAD,EDAD
DSP.1001660006694.C.F07.EDAD,DSP-1001660006694-C-F07-EDAD,EDAD
DSP.1001660006694.C.F08.EDAD,DSP-1001660006694-C-F08-EDAD,EDAD
DSP.1001660006694.C.F09.EDAD,DSP-1001660006694-C-F09-EDAD,EDAD
DSP.1001660006694.C.F10.EDAD,DSP-1001660006694-C-F10-EDAD,EDAD
DSP.1001660006694.C.F11.EDAD,DSP-1001660006694-C-F11-EDAD,EDAD
DSP.1001660006694.C.G02.EDAD,DSP-1001660006694-C-G02-EDAD,EDAD
DSP.1001660006694.C.G03.EDAD,DSP-1001660006694-C-G03-EDAD,EDAD
DSP.1001660006694.C.G04.EDAD,DSP-1001660006694-C-G04-EDAD,EDAD
DSP.1001660006694.C.G05.EDAD,DSP-1001660006694-C-G05-EDAD,EDAD
DSP.1001660006694.C.G06.EDAD,DSP-1001660006694-C-G06-EDAD,EDAD
DSP.1001660006693.D.A02.EDAD,DSP-1001660006693-D-A02-EDAD,EDAD
DSP.1001660006693.D.A03.EDAD,DSP-1001660006693-D-A03-EDAD,EDAD
DSP.1001660006693.D.A04.EDAD,DSP-1001660006693-D-A04-EDAD,EDAD
DSP.1001660006693.D.A05.EDAD,DSP-1001660006693-D-A05-EDAD,EDAD
DSP.1001660006693.D.A06.EDAD,DSP-1001660006693-D-A06-EDAD,EDAD
DSP.1001660006693.D.A07.EDAD,DSP-1001660006693-D-A07-EDAD,EDAD
DSP.1001660006693.D.B11.EDAD,DSP-1001660006693-D-B11-EDAD,EDAD
DSP.1001660006693.D.C06.EDAD,DSP-1001660006693-D-C06-EDAD,EDAD
DSP.1001660006693.D.C07.EDAD,DSP-1001660006693-D-C07-EDAD,EDAD
DSP.1001660006693.D.C08.EDAD,DSP-1001660006693-D-C08-EDAD,EDAD
DSP.1001660006693.D.C09.EDAD,DSP-1001660006693-D-C09-EDAD,EDAD
DSP.1001660006693.D.C10.EDAD,DSP-1001660006693-D-C10-EDAD,EDAD
DSP.1001660006693.D.C11.EDAD,DSP-1001660006693-D-C11-EDAD,EDAD
DSP.1001660006693.D.C12.EDAD,DSP-1001660006693-D-C12-EDAD,EDAD
DSP.1001660006693.D.D01.EDAD,DSP-1001660006693-D-D01-EDAD,EDAD
DSP.1001660006693.D.D02.EDAD,DSP-1001660006693-D-D02-EDAD,EDAD
DSP.1001660006693.D.D03.EDAD,DSP-1001660006693-D-D03-EDAD,EDAD
DSP.1001660006693.D.D04.EDAD,DSP-1001660006693-D-D04-EDAD,EDAD
DSP.1001660006693.D.D05.EDAD,DSP-1001660006693-D-D05-EDAD,EDAD
DSP.1001660006652.A.B08.MDAD,DSP-1001660006652-A-B08-MDAD,MDAD
DSP.1001660006652.A.B09.MDAD,DSP-1001660006652-A-B09-MDAD,MDAD
DSP.1001660006652.A.C10.MDAD,DSP-1001660006652-A-C10-MDAD,MDAD
DSP.1001660006652.A.E10.MDAD,DSP-1001660006652-A-E10-MDAD,MDAD
DSP.1001660006652.A.E11.MDAD,DSP-1001660006652-A-E11-MDAD,MDAD
DSP.1001660006652.A.G04.MDAD,DSP-1001660006652-A-G04-MDAD,MDAD
DSP.1001660006652.A.G05.MDAD,DSP-1001660006652-A-G05-MDAD,MDAD
DSP.1001660006652.A.G06.MDAD,DSP-1001660006652-A-G06-MDAD,MDAD
DSP.1001660006695.B.B03.MDAD,DSP-1001660006695-B-B03-MDAD,MDAD
DSP.1001660006695.B.C12.MDAD,DSP-1001660006695-B-C12-MDAD,MDAD
DSP.1001660006695.B.D02.MDAD,DSP-1001660006695-B-D02-MDAD,MDAD
DSP.1001660006695.B.D12.MDAD,DSP-1001660006695-B-D12-MDAD,MDAD
DSP.1001660006695.B.E06.MDAD,DSP-1001660006695-B-E06-MDAD,MDAD
DSP.1001660006695.B.E07.MDAD,DSP-1001660006695-B-E07-MDAD,MDAD
DSP.1001660006695.B.E09.MDAD,DSP-1001660006695-B-E09-MDAD,MDAD
DSP.1001660006695.B.E10.MDAD,DSP-1001660006695-B-E10-MDAD,MDAD
DSP.1001660006695.B.F05.MDAD,DSP-1001660006695-B-F05-MDAD,MDAD
DSP.1001660006695.B.G03.MDAD,DSP-1001660006695-B-G03-MDAD,MDAD
DSP.1001660006694.C.E05.MDAD,DSP-1001660006694-C-E05-MDAD,MDAD
DSP.1001660006693.D.A08.MDAD,DSP-1001660006693-D-A08-MDAD,MDAD
DSP.1001660006693.D.A09.MDAD,DSP-1001660006693-D-A09-MDAD,MDAD
DSP.1001660006693.D.A10.MDAD,DSP-1001660006693-D-A10-MDAD,MDAD
DSP.1001660006693.D.A11.MDAD,DSP-1001660006693-D-A11-MDAD,MDAD
DSP.1001660006693.D.B12.MDAD,DSP-1001660006693-D-B12-MDAD,MDAD
DSP.1001660006652.A.B10.ODAD,DSP-1001660006652-A-B10-ODAD,ODAD
DSP.1001660006652.A.B11.ODAD,DSP-1001660006652-A-B11-ODAD,ODAD
DSP.1001660006652.A.C01.ODAD,DSP-1001660006652-A-C01-ODAD,ODAD
DSP.1001660006652.A.C11.ODAD,DSP-1001660006652-A-C11-ODAD,ODAD
DSP.1001660006652.A.G07.ODAD,DSP-1001660006652-A-G07-ODAD,ODAD
DSP.1001660006652.A.G08.ODAD,DSP-1001660006652-A-G08-ODAD,ODAD
DSP.1001660006652.A.G09.ODAD,DSP-1001660006652-A-G09-ODAD,ODAD
DSP.1001660006652.A.G10.ODAD,DSP-1001660006652-A-G10-ODAD,ODAD
DSP.1001660006652.A.G11.ODAD,DSP-1001660006652-A-G11-ODAD,ODAD
DSP.1001660006652.A.H01.ODAD,DSP-1001660006652-A-H01-ODAD,ODAD
DSP.1001660006695.B.D03.ODAD,DSP-1001660006695-B-D03-ODAD,ODAD
DSP.1001660006695.B.D04.ODAD,DSP-1001660006695-B-D04-ODAD,ODAD
DSP.1001660006695.B.D05.ODAD,DSP-1001660006695-B-D05-ODAD,ODAD
DSP.1001660006695.B.D06.ODAD,DSP-1001660006695-B-D06-ODAD,ODAD
DSP.1001660006695.B.D07.ODAD,DSP-1001660006695-B-D07-ODAD,ODAD
DSP.1001660006695.B.D08.ODAD,DSP-1001660006695-B-D08-ODAD,ODAD
DSP.1001660006695.B.D09.ODAD,DSP-1001660006695-B-D09-ODAD,ODAD
DSP.1001660006695.B.E02.ODAD,DSP-1001660006695-B-E02-ODAD,ODAD
DSP.1001660006695.B.E03.ODAD,DSP-1001660006695-B-E03-ODAD,ODAD
DSP.1001660006695.B.E05.ODAD,DSP-1001660006695-B-E05-ODAD,ODAD
DSP.1001660006695.B.F06.ODAD,DSP-1001660006695-B-F06-ODAD,ODAD
DSP.1001660006695.B.F07.ODAD,DSP-1001660006695-B-F07-ODAD,ODAD
DSP.1001660006695.B.F08.ODAD,DSP-1001660006695-B-F08-ODAD,ODAD
DSP.1001660006695.B.F09.ODAD,DSP-1001660006695-B-F09-ODAD,ODAD
DSP.1001660006695.B.F10.ODAD,DSP-1001660006695-B-F10-ODAD,ODAD
DSP.1001660006695.B.F11.ODAD,DSP-1001660006695-B-F11-ODAD,ODAD
DSP.1001660006695.B.F12.ODAD,DSP-1001660006695-B-F12-ODAD,ODAD
DSP.1001660006695.B.G02.ODAD,DSP-1001660006695-B-G02-ODAD,ODAD
DSP.1001660006695.B.G04.ODAD,DSP-1001660006695-B-G04-ODAD,ODAD
DSP.1001660006695.B.G05.ODAD,DSP-1001660006695-B-G05-ODAD,ODAD
DSP.1001660006695.B.G06.ODAD,DSP-1001660006695-B-G06-ODAD,ODAD
DSP.1001660006695.B.G07.ODAD,DSP-1001660006695-B-G07-ODAD,ODAD
DSP.1001660006695.B.G08.ODAD,DSP-1001660006695-B-G08-ODAD,ODAD
DSP.1001660006695.B.G09.ODAD,DSP-1001660006695-B-G09-ODAD,ODAD
DSP.1001660006695.B.G10.ODAD,DSP-1001660006695-B-G10-ODAD,ODAD
DSP.1001660006695.B.G11.ODAD,DSP-1001660006695-B-G11-ODAD,ODAD
DSP.1001660006695.B.G12.ODAD,DSP-1001660006695-B-G12-ODAD,ODAD
DSP.1001660006694.C.C11.ODAD,DSP-1001660006694-C-C11-ODAD,ODAD
DSP.1001660006694.C.D01.ODAD,DSP-1001660006694-C-D01-ODAD,ODAD
DSP.1001660006694.C.D02.ODAD,DSP-1001660006694-C-D02-ODAD,ODAD
DSP.1001660006694.C.D03.ODAD,DSP-1001660006694-C-D03-ODAD,ODAD
DSP.1001660006694.C.D04.ODAD,DSP-1001660006694-C-D04-ODAD,ODAD
DSP.1001660006694.C.D05.ODAD,DSP-1001660006694-C-D05-ODAD,ODAD
DSP.1001660006694.C.D06.ODAD,DSP-1001660006694-C-D06-ODAD,ODAD
DSP.1001660006694.C.D07.ODAD,DSP-1001660006694-C-D07-ODAD,ODAD
DSP.1001660006694.C.D08.ODAD,DSP-1001660006694-C-D08-ODAD,ODAD
DSP.1001660006694.C.E06.ODAD,DSP-1001660006694-C-E06-ODAD,ODAD
DSP.1001660006693.D.B01.ODAD,DSP-1001660006693-D-B01-ODAD,ODAD
DSP.1001660006693.D.C01.ODAD,DSP-1001660006693-D-C01-ODAD,ODAD
DSP.1001660006693.D.C02.ODAD,DSP-1001660006693-D-C02-ODAD,ODAD
DSP.1001660006693.D.C03.ODAD,DSP-1001660006693-D-C03-ODAD,ODAD
DSP.1001660006693.D.D06.ODAD,DSP-1001660006693-D-D06-ODAD,ODAD
